service_area,period,telecom_spend,incidents,avg_mttr,incident_cost,uptime,packet_loss,latency,mtbf,cost_per_incident
Cloud Connectivity,2025-04-01,39592.23,16,32.3625,53748.12,99.50015686274506,0.20337254901960788,35.60196078431373,1498.6078431372548,2474.514375
Cloud Connectivity,2025-05-01,39606.43000000001,40,33.34000000000001,161536.41999999998,99.57270588235292,0.23401960784313727,32.46666666666667,1493.5294117647059,990.1607500000002
Cloud Connectivity,2025-09-01,39071.68,17,29.182352941176468,52985.150000000016,99.54578431372549,0.1997254901960785,33.97058823529412,1528.3921568627452,2298.334117647059
Cloud Connectivity,2025-10-01,39796.04,30,27.866666666666667,92344.71,99.56664705882355,0.1873333333333333,35.93333333333333,1458.0,1326.5346666666667
Cloud Connectivity,2025-11-01,40420.899999999994,34,30.24117647058823,121507.15000000002,99.65939215686274,0.19360784313725485,34.245098039215684,1524.6470588235295,1188.85
Voice/UCaaS,2025-01-01,53707.23,33,31.5090909090909,115435.43000000002,99.58028571428574,0.20209523809523813,35.126984126984134,1452.4920634920634,1627.4918181818182
Voice/UCaaS,2025-02-01,54643.29,36,29.563888888888886,117697.81999999998,99.61752380952382,0.2342857142857143,34.68253968253968,1508.936507936508,1517.8691666666666
Voice/UCaaS,2025-03-01,53191.67,38,29.607894736842102,125710.41999999998,99.61239682539686,0.18803174603174605,36.02063492063492,1452.3333333333333,1399.780789473684
Voice/UCaaS,2025-04-01,53640.079999999994,36,28.13055555555555,111640.62000000001,99.64739682539683,0.20804761904761906,35.58730158730159,1535.3333333333333,1490.0022222222221
Voice/UCaaS,2025-05-01,52496.94,38,31.663157894736838,130459.46000000005,99.59814285714285,0.23211111111111113,35.56507936507938,1468.7301587301588,1381.4984210526316
Voice/UCaaS,2025-09-01,53993.24999999999,47,31.480851063829785,164828.66999999998,99.60804761904758,0.23426984126984132,33.97142857142857,1541.2380952380952,1148.792553191489
Voice/UCaaS,2025-10-01,53239.94,53,31.194339622641504,187882.37000000002,99.65987301587296,0.18588888888888885,34.83174603174602,1512.4920634920634,1004.5271698113208
Voice/UCaaS,2025-11-01,53177.869999999995,42,27.03809523809524,136790.88999999998,99.56623809523806,0.2136825396825397,34.42063492063491,1495.2063492063492,1266.1397619047618
Contact Center,2025-01-01,31800.819999999996,86,30.87558139534884,297258.47999999986,99.65264864864865,0.4328648648648648,35.37837837837838,1451.2702702702702,369.776976744186
Contact Center,2025-02-01,30380.729999999996,75,29.422666666666665,247887.63999999996,99.57802702702703,0.6127027027027027,36.26756756756756,1470.027027027027,405.0763999999999
Contact Center,2025-03-01,31671.629999999997,101,32.85445544554456,377581.83,99.58186486486488,0.8118648648648649,38.89459459459459,1378.918918918919,313.5804950495049
Contact Center,2025-04-01,29884.339999999997,101,29.5910891089109,325577.3200000002,99.56543243243244,1.0314864864864866,39.356756756756745,1324.8648648648648,295.8845544554455
Contact Center,2025-05-01,29610.69,87,29.47816091954023,285789.12999999995,99.65586486486487,1.182027027027027,37.28108108108109,1328.1891891891892,340.35275862068966
Contact Center,2025-09-01,30124.289999999997,148,29.80202702702703,488838.04999999976,99.60381081081081,2.075540540540541,39.245945945945955,1150.054054054054,203.5425
Contact Center,2025-10-01,30971.329999999998,131,27.928244274809153,411068.15999999986,99.54110810810809,2.2678378378378383,44.15675675675675,1078.8918918918919,236.42236641221373
Contact Center,2025-11-01,31409.43,136,28.252941176470593,435017.2900000001,99.54335135135132,2.5247567567567564,43.88648648648648,1050.027027027027,230.9516911764706
Wireless/Mobile,2025-06-01,33924.92999999999,27,31.71851851851852,95818.70000000001,99.55393750000002,0.18833333333333335,36.09791666666667,1468.7708333333333,1256.4788888888886
Wireless/Mobile,2025-07-01,34392.07,23,27.747826086956525,69890.15,99.63045833333335,0.2109791666666666,35.38541666666667,1523.2916666666667,1495.307391304348
Wireless/Mobile,2025-08-01,34435.13,39,30.31538461538462,130972.57999999999,99.60477083333336,0.17139583333333339,34.737500000000004,1437.0625,882.9520512820512
Wireless/Mobile,2025-12-01,35603.33,23,31.73913043478261,83769.67,99.57154166666669,0.1824166666666666,36.37499999999999,1522.4583333333333,1547.9708695652175
WAN/Circuits,2025-06-01,38977.48000000001,22,27.436363636363637,68726.14000000001,99.58884905660378,0.20775471698113207,36.596226415094335,1514.4716981132076,1771.7036363636369
WAN/Circuits,2025-07-01,38675.72000000001,30,27.45333333333333,94504.82999999997,99.60311320754715,0.2030188679245283,35.503773584905666,1487.9811320754718,1289.1906666666669
WAN/Circuits,2025-08-01,38289.62000000001,44,34.2659090909091,162616.22999999998,99.60928301886796,0.20052830188679246,32.194339622641515,1527.3207547169811,870.2186363636366
WAN/Circuits,2025-12-01,39421.03000000001,26,29.680769230769233,91822.51999999999,99.57901886792452,0.21383018867924525,33.077358490566034,1489.3396226415093,1516.193461538462
Data Center Net,2025-01-01,50588.27999999999,33,27.984848484848477,103267.56,99.59835294117647,0.19470588235294117,34.32647058823528,1493.9558823529412,1532.9781818181816
Data Center Net,2025-02-01,52848.969999999994,38,29.31578947368421,124385.87000000001,99.58885294117647,0.23255882352941176,33.91911764705882,1507.2058823529412,1390.7623684210525
Data Center Net,2025-03-01,50820.88999999999,32,32.875,120789.4,99.55070588235296,0.20319117647058824,35.1,1536.6764705882354,1588.1528124999998
Data Center Net,2025-04-01,53742.43,33,29.4969696969697,110283.69000000003,99.60501470588235,0.18427941176470583,34.82794117647059,1494.6470588235295,1628.5584848484848
Data Center Net,2025-05-01,51298.22999999999,47,33.85531914893618,169986.31999999998,99.65194117647059,0.17885294117647058,34.935294117647054,1503.8529411764705,1091.4517021276592
Data Center Net,2025-09-01,54587.32999999999,40,29.07,129754.40000000001,99.61738235294114,0.17845588235294121,35.20294117647058,1476.264705882353,1364.6832499999996
Data Center Net,2025-10-01,51832.57999999999,41,28.441463414634143,128809.80999999994,99.5739558823529,0.18633823529411758,34.81617647058823,1520.985294117647,1264.2092682926825
Data Center Net,2025-11-01,50772.22999999999,33,29.439393939393938,106088.86999999998,99.55675,0.18769117647058822,33.129411764705885,1534.25,1538.552424242424
Cloud Connectivity,2025-06-01,40692.579999999994,37,26.140540540540538,105067.97,99.52831372549021,0.2294117647058824,33.87450980392157,1471.4705882352941,1099.7994594594593
Cloud Connectivity,2025-07-01,40110.259999999995,31,30.029032258064518,103373.95000000001,99.50986274509802,0.14531372549019608,33.956862745098036,1527.7450980392157,1293.8793548387096
Cloud Connectivity,2025-08-01,40348.04,23,26.2695652173913,66768.18,99.60225490196075,0.21084313725490197,34.64901960784314,1539.0588235294117,1754.2626086956523
Cloud Connectivity,2025-12-01,39606.43000000001,34,30.941176470588236,116961.02,99.47860784313725,0.2383725490196078,35.73137254901961,1473.5098039215686,1164.8950000000002
Voice/UCaaS,2025-06-01,53289.81999999999,36,26.555555555555557,111425.35,99.5956984126984,0.18906349206349204,34.94761904761905,1511.4603174603174,1480.2727777777775
Voice/UCaaS,2025-07-01,54071.340000000004,42,27.335714285714296,135421.66,99.53649206349205,0.2013809523809525,34.46984126984126,1505.047619047619,1287.4128571428573
Voice/UCaaS,2025-08-01,54119.23,34,29.77941176470588,122084.85999999996,99.65138095238095,0.18857142857142867,34.32698412698415,1513.6984126984128,1591.7420588235295
Voice/UCaaS,2025-12-01,58407.280000000006,30,32.81000000000001,108367.22000000002,99.6053650793651,0.2093650793650794,37.24285714285714,1526.3174603174602,1946.9093333333335
Contact Center,2025-06-01,32046.089999999997,119,27.606722689075635,367455.27,99.61672972972974,1.4590810810810815,38.75675675675677,1258.2702702702702,269.2948739495798
Contact Center,2025-07-01,30477.999999999996,125,31.2976,446542.24,99.52116216216217,1.639945945945946,40.12432432432432,1219.8918918918919,243.82399999999998
Contact Center,2025-08-01,31517.639999999996,133,30.75488721804511,459778.89,99.62237837837836,1.8671351351351353,40.85135135135136,1150.5945945945946,236.97473684210524
Contact Center,2025-12-01,29340.819999999996,163,30.46564417177915,552633.4500000004,99.55232432432429,2.6823243243243247,45.55675675675676,988.8918918918919,180.0050306748466
Wireless/Mobile,2025-01-01,34879.69999999999,38,27.271052631578954,117495.20000000001,99.61237499999999,0.21279166666666663,34.21249999999999,1490.1666666666667,917.8868421052629
Wireless/Mobile,2025-02-01,35037.11,32,23.38437499999999,84584.08999999998,99.5666875,0.20237499999999997,36.68958333333333,1540.1041666666667,1094.9096875
Wireless/Mobile,2025-03-01,34447.479999999996,29,31.013793103448275,104952.18,99.62560416666668,0.19954166666666664,34.43958333333334,1532.2291666666667,1187.8441379310343
Wireless/Mobile,2025-04-01,35710.29,48,31.04166666666666,172301.72999999998,99.49989583333333,0.19054166666666664,32.91666666666665,1460.3958333333333,743.964375
Wireless/Mobile,2025-05-01,35741.020000000004,22,26.154545454545453,63923.12999999999,99.6096041666667,0.1985833333333333,36.368750000000006,1465.7083333333333,1624.5918181818183
Wireless/Mobile,2025-09-01,33631.77999999999,33,24.933333333333337,92931.73999999999,99.53916666666665,0.2399375,35.02291666666667,1452.1666666666667,1019.1448484848482
Wireless/Mobile,2025-10-01,34754.26,30,36.34,120554.91999999998,99.52566666666667,0.20966666666666658,35.83541666666667,1552.7291666666667,1158.4753333333333
Wireless/Mobile,2025-11-01,33631.77999999999,24,26.929166666666664,71172.48000000003,99.57133333333333,0.2471874999999999,36.141666666666666,1506.4375,1401.3241666666663
