invoice_id,ci_id,vendor,service_area,period,contracted_rate,billed_amount,ci_status,variance,finding
INV000048,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-12-01,1004.11,2008.22,Active,1004.11,Duplicate charge
INV000049,CI-0004,Cascade Mobile,Voice/UCaaS,2025-01-01,709.4,709.4,Active,0.0,OK
INV000050,CI-0004,Cascade Mobile,Voice/UCaaS,2025-02-01,709.4,709.4,Active,0.0,OK
INV000051,CI-0004,Cascade Mobile,Voice/UCaaS,2025-03-01,709.4,709.4,Active,0.0,OK
INV000052,CI-0004,Cascade Mobile,Voice/UCaaS,2025-04-01,709.4,709.4,Active,0.0,OK
INV000053,CI-0004,Cascade Mobile,Voice/UCaaS,2025-05-01,709.4,709.4,Active,0.0,OK
INV000054,CI-0004,Cascade Mobile,Voice/UCaaS,2025-06-01,709.4,709.4,Active,0.0,OK
INV000055,CI-0004,Cascade Mobile,Voice/UCaaS,2025-07-01,709.4,709.4,Active,0.0,OK
INV000056,CI-0004,Cascade Mobile,Voice/UCaaS,2025-08-01,709.4,709.4,Active,0.0,OK
INV000057,CI-0004,Cascade Mobile,Voice/UCaaS,2025-09-01,709.4,709.4,Active,0.0,OK
INV000058,CI-0004,Cascade Mobile,Voice/UCaaS,2025-10-01,709.4,709.4,Active,0.0,OK
INV000059,CI-0004,Cascade Mobile,Voice/UCaaS,2025-11-01,709.4,709.4,Active,0.0,OK
INV000060,CI-0004,Cascade Mobile,Voice/UCaaS,2025-12-01,709.4,709.4,Active,0.0,OK
INV000073,CI-0006,BlueRidge Comms,WAN/Circuits,2025-01-01,1066.65,1066.65,Active,0.0,OK
INV000074,CI-0006,BlueRidge Comms,WAN/Circuits,2025-02-01,1066.65,1066.65,Active,0.0,OK
INV000075,CI-0006,BlueRidge Comms,WAN/Circuits,2025-03-01,1066.65,1066.65,Active,0.0,OK
INV000076,CI-0006,BlueRidge Comms,WAN/Circuits,2025-04-01,1066.65,1066.65,Active,0.0,OK
INV000077,CI-0006,BlueRidge Comms,WAN/Circuits,2025-05-01,1066.65,1066.65,Active,0.0,OK
INV000078,CI-0006,BlueRidge Comms,WAN/Circuits,2025-06-01,1066.65,1066.65,Active,0.0,OK
INV000079,CI-0006,BlueRidge Comms,WAN/Circuits,2025-07-01,1066.65,1066.65,Active,0.0,OK
INV000080,CI-0006,BlueRidge Comms,WAN/Circuits,2025-08-01,1066.65,1066.65,Active,0.0,OK
INV000081,CI-0006,BlueRidge Comms,WAN/Circuits,2025-09-01,1066.65,1066.65,Active,0.0,OK
INV000082,CI-0006,BlueRidge Comms,WAN/Circuits,2025-10-01,1066.65,1066.65,Active,0.0,OK
INV000083,CI-0006,BlueRidge Comms,WAN/Circuits,2025-11-01,1066.65,1066.65,Active,0.0,OK
INV000084,CI-0006,BlueRidge Comms,WAN/Circuits,2025-12-01,1066.65,1066.65,Active,0.0,OK
INV000085,CI-0007,BlueRidge Comms,Data Center Net,2025-01-01,738.95,738.95,Active,0.0,OK
INV000086,CI-0007,BlueRidge Comms,Data Center Net,2025-02-01,738.95,738.95,Active,0.0,OK
INV000087,CI-0007,BlueRidge Comms,Data Center Net,2025-03-01,738.95,738.95,Active,0.0,OK
INV000088,CI-0007,BlueRidge Comms,Data Center Net,2025-04-01,738.95,738.95,Active,0.0,OK
INV000089,CI-0007,BlueRidge Comms,Data Center Net,2025-05-01,738.95,738.95,Active,0.0,OK
INV000090,CI-0007,BlueRidge Comms,Data Center Net,2025-06-01,738.95,738.95,Active,0.0,OK
INV000091,CI-0007,BlueRidge Comms,Data Center Net,2025-07-01,738.95,738.95,Active,0.0,OK
INV000092,CI-0007,BlueRidge Comms,Data Center Net,2025-08-01,738.95,738.95,Active,0.0,OK
INV000093,CI-0007,BlueRidge Comms,Data Center Net,2025-09-01,738.95,738.95,Active,0.0,OK
INV000094,CI-0007,BlueRidge Comms,Data Center Net,2025-10-01,738.95,738.95,Active,0.0,OK
INV000095,CI-0007,BlueRidge Comms,Data Center Net,2025-11-01,738.95,738.95,Active,0.0,OK
INV000096,CI-0007,BlueRidge Comms,Data Center Net,2025-12-01,738.95,738.95,Active,0.0,OK
INV000097,CI-0008,Atlas Fiber,Wireless/Mobile,2025-01-01,949.59,949.59,Active,0.0,OK
INV000098,CI-0008,Atlas Fiber,Wireless/Mobile,2025-02-01,949.59,949.59,Active,0.0,OK
INV000099,CI-0008,Atlas Fiber,Wireless/Mobile,2025-03-01,949.59,949.59,Active,0.0,OK
INV000100,CI-0008,Atlas Fiber,Wireless/Mobile,2025-04-01,949.59,949.59,Active,0.0,OK
INV000101,CI-0008,Atlas Fiber,Wireless/Mobile,2025-05-01,949.59,949.59,Active,0.0,OK
INV000102,CI-0008,Atlas Fiber,Wireless/Mobile,2025-06-01,949.59,949.59,Active,0.0,OK
INV000103,CI-0008,Atlas Fiber,Wireless/Mobile,2025-07-01,949.59,949.59,Active,0.0,OK
INV000104,CI-0008,Atlas Fiber,Wireless/Mobile,2025-08-01,949.59,949.59,Active,0.0,OK
INV000105,CI-0008,Atlas Fiber,Wireless/Mobile,2025-09-01,949.59,949.59,Active,0.0,OK
INV000106,CI-0008,Atlas Fiber,Wireless/Mobile,2025-10-01,949.59,949.59,Active,0.0,OK
INV000107,CI-0008,Atlas Fiber,Wireless/Mobile,2025-11-01,949.59,949.59,Active,0.0,OK
INV000108,CI-0008,Atlas Fiber,Wireless/Mobile,2025-12-01,949.59,949.59,Active,0.0,OK
INV000109,CI-0009,Atlas Fiber,WAN/Circuits,2025-01-01,1254.82,1254.82,Active,0.0,OK
INV000110,CI-0009,Atlas Fiber,WAN/Circuits,2025-02-01,1254.82,1254.82,Active,0.0,OK
INV000111,CI-0009,Atlas Fiber,WAN/Circuits,2025-03-01,1254.82,1254.82,Active,0.0,OK
INV000112,CI-0009,Atlas Fiber,WAN/Circuits,2025-04-01,1254.82,1254.82,Active,0.0,OK
INV000113,CI-0009,Atlas Fiber,WAN/Circuits,2025-05-01,1254.82,1254.82,Active,0.0,OK
INV000114,CI-0009,Atlas Fiber,WAN/Circuits,2025-06-01,1254.82,1254.82,Active,0.0,OK
INV000115,CI-0009,Atlas Fiber,WAN/Circuits,2025-07-01,1254.82,1254.82,Active,0.0,OK
INV000116,CI-0009,Atlas Fiber,WAN/Circuits,2025-08-01,1254.82,1254.82,Active,0.0,OK
INV000117,CI-0009,Atlas Fiber,WAN/Circuits,2025-09-01,1254.82,1254.82,Active,0.0,OK
INV000118,CI-0009,Atlas Fiber,WAN/Circuits,2025-10-01,1254.82,1254.82,Active,0.0,OK
INV000119,CI-0009,Atlas Fiber,WAN/Circuits,2025-11-01,1254.82,1254.82,Active,0.0,OK
INV000120,CI-0009,Atlas Fiber,WAN/Circuits,2025-12-01,1254.82,1254.82,Active,0.0,OK
INV000121,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-01-01,632.52,632.52,Active,0.0,OK
INV000122,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-02-01,632.52,632.52,Active,0.0,OK
INV000123,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-03-01,632.52,632.52,Active,0.0,OK
INV000124,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-04-01,632.52,632.52,Active,0.0,OK
INV000125,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-05-01,632.52,632.52,Active,0.0,OK
INV000126,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-06-01,632.52,632.52,Active,0.0,OK
INV000127,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-07-01,632.52,632.52,Active,0.0,OK
INV000128,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-08-01,632.52,632.52,Active,0.0,OK
INV000129,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-09-01,632.52,632.52,Active,0.0,OK
INV000130,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-10-01,632.52,632.52,Active,0.0,OK
INV000131,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-11-01,632.52,632.52,Active,0.0,OK
INV000132,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-12-01,632.52,632.52,Active,0.0,OK
INV000133,CI-0011,Cascade Mobile,Contact Center,2025-01-01,640.45,640.45,Active,0.0,OK
INV000134,CI-0011,Cascade Mobile,Contact Center,2025-02-01,640.45,640.45,Active,0.0,OK
INV000135,CI-0011,Cascade Mobile,Contact Center,2025-03-01,640.45,640.45,Active,0.0,OK
INV000136,CI-0011,Cascade Mobile,Contact Center,2025-04-01,640.45,640.45,Active,0.0,OK
INV000137,CI-0011,Cascade Mobile,Contact Center,2025-05-01,640.45,640.45,Active,0.0,OK
INV000138,CI-0011,Cascade Mobile,Contact Center,2025-06-01,640.45,640.45,Active,0.0,OK
INV000139,CI-0011,Cascade Mobile,Contact Center,2025-07-01,640.45,640.45,Active,0.0,OK
INV000140,CI-0011,Cascade Mobile,Contact Center,2025-08-01,640.45,640.45,Active,0.0,OK
INV000141,CI-0011,Cascade Mobile,Contact Center,2025-09-01,640.45,640.45,Active,0.0,OK
INV000142,CI-0011,Cascade Mobile,Contact Center,2025-10-01,640.45,640.45,Active,0.0,OK
INV000143,CI-0011,Cascade Mobile,Contact Center,2025-11-01,640.45,640.45,Active,0.0,OK
INV000144,CI-0011,Cascade Mobile,Contact Center,2025-12-01,640.45,640.45,Active,0.0,OK
INV000145,CI-0012,Meridian Networks,Data Center Net,2025-01-01,1757.9,1757.9,Active,0.0,OK
INV000146,CI-0012,Meridian Networks,Data Center Net,2025-02-01,1757.9,1757.9,Active,0.0,OK
INV000147,CI-0012,Meridian Networks,Data Center Net,2025-03-01,1757.9,1757.9,Active,0.0,OK
INV000148,CI-0012,Meridian Networks,Data Center Net,2025-04-01,1757.9,3515.8,Active,1757.9,Duplicate charge
INV000149,CI-0012,Meridian Networks,Data Center Net,2025-05-01,1757.9,1757.9,Active,0.0,OK
INV000150,CI-0012,Meridian Networks,Data Center Net,2025-06-01,1757.9,1757.9,Active,0.0,OK
INV000151,CI-0012,Meridian Networks,Data Center Net,2025-07-01,1757.9,1757.9,Active,0.0,OK
INV000152,CI-0012,Meridian Networks,Data Center Net,2025-08-01,1757.9,2136.43,Active,378.52999999999975,Rate overcharge
INV000153,CI-0012,Meridian Networks,Data Center Net,2025-09-01,1757.9,1757.9,Active,0.0,OK
INV000154,CI-0012,Meridian Networks,Data Center Net,2025-10-01,1757.9,1757.9,Active,0.0,OK
INV000155,CI-0012,Meridian Networks,Data Center Net,2025-11-01,1757.9,1757.9,Active,0.0,OK
INV000156,CI-0012,Meridian Networks,Data Center Net,2025-12-01,1757.9,1757.9,Active,0.0,OK
INV000157,CI-0013,Atlas Fiber,Data Center Net,2025-01-01,998.32,998.32,Active,0.0,OK
INV000158,CI-0013,Atlas Fiber,Data Center Net,2025-02-01,998.32,998.32,Active,0.0,OK
INV000159,CI-0013,Atlas Fiber,Data Center Net,2025-03-01,998.32,998.32,Active,0.0,OK
INV000160,CI-0013,Atlas Fiber,Data Center Net,2025-04-01,998.32,998.32,Active,0.0,OK
INV000161,CI-0013,Atlas Fiber,Data Center Net,2025-05-01,998.32,998.32,Active,0.0,OK
INV000162,CI-0013,Atlas Fiber,Data Center Net,2025-06-01,998.32,998.32,Active,0.0,OK
INV000163,CI-0013,Atlas Fiber,Data Center Net,2025-07-01,998.32,998.32,Active,0.0,OK
INV000164,CI-0013,Atlas Fiber,Data Center Net,2025-08-01,998.32,998.32,Active,0.0,OK
INV000165,CI-0013,Atlas Fiber,Data Center Net,2025-09-01,998.32,998.32,Active,0.0,OK
INV000166,CI-0013,Atlas Fiber,Data Center Net,2025-10-01,998.32,998.32,Active,0.0,OK
INV000167,CI-0013,Atlas Fiber,Data Center Net,2025-11-01,998.32,998.32,Active,0.0,OK
INV000168,CI-0013,Atlas Fiber,Data Center Net,2025-12-01,998.32,998.32,Active,0.0,OK
INV000169,CI-0014,BlueRidge Comms,Data Center Net,2025-01-01,709.95,709.95,Active,0.0,OK
INV000170,CI-0014,BlueRidge Comms,Data Center Net,2025-02-01,709.95,709.95,Active,0.0,OK
INV000171,CI-0014,BlueRidge Comms,Data Center Net,2025-03-01,709.95,709.95,Active,0.0,OK
INV000172,CI-0014,BlueRidge Comms,Data Center Net,2025-04-01,709.95,709.95,Active,0.0,OK
INV000173,CI-0014,BlueRidge Comms,Data Center Net,2025-05-01,709.95,1419.9,Active,709.95,Duplicate charge
INV000174,CI-0014,BlueRidge Comms,Data Center Net,2025-06-01,709.95,709.95,Active,0.0,OK
INV000175,CI-0014,BlueRidge Comms,Data Center Net,2025-07-01,709.95,709.95,Active,0.0,OK
INV000176,CI-0014,BlueRidge Comms,Data Center Net,2025-08-01,709.95,709.95,Active,0.0,OK
INV000177,CI-0014,BlueRidge Comms,Data Center Net,2025-09-01,709.95,1419.9,Active,709.95,Duplicate charge
INV000178,CI-0014,BlueRidge Comms,Data Center Net,2025-10-01,709.95,709.95,Active,0.0,OK
INV000179,CI-0014,BlueRidge Comms,Data Center Net,2025-11-01,709.95,709.95,Active,0.0,OK
INV000180,CI-0014,BlueRidge Comms,Data Center Net,2025-12-01,709.95,709.95,Active,0.0,OK
INV000181,CI-0015,BlueRidge Comms,Data Center Net,2025-01-01,1195.3,1195.3,Active,0.0,OK
INV000182,CI-0015,BlueRidge Comms,Data Center Net,2025-02-01,1195.3,1195.3,Active,0.0,OK
INV000183,CI-0015,BlueRidge Comms,Data Center Net,2025-03-01,1195.3,1195.3,Active,0.0,OK
INV000184,CI-0015,BlueRidge Comms,Data Center Net,2025-04-01,1195.3,1195.3,Active,0.0,OK
INV000185,CI-0015,BlueRidge Comms,Data Center Net,2025-05-01,1195.3,1195.3,Active,0.0,OK
INV000186,CI-0015,BlueRidge Comms,Data Center Net,2025-06-01,1195.3,1195.3,Active,0.0,OK
INV000187,CI-0015,BlueRidge Comms,Data Center Net,2025-07-01,1195.3,1195.3,Active,0.0,OK
INV000188,CI-0015,BlueRidge Comms,Data Center Net,2025-08-01,1195.3,1195.3,Active,0.0,OK
INV000189,CI-0015,BlueRidge Comms,Data Center Net,2025-09-01,1195.3,1195.3,Active,0.0,OK
INV000190,CI-0015,BlueRidge Comms,Data Center Net,2025-10-01,1195.3,1195.3,Active,0.0,OK
INV000191,CI-0015,BlueRidge Comms,Data Center Net,2025-11-01,1195.3,1195.3,Active,0.0,OK
INV000192,CI-0015,BlueRidge Comms,Data Center Net,2025-12-01,1195.3,1195.3,Active,0.0,OK
INV000195,CI-0016,Cascade Mobile,Cloud Connectivity,2025-03-01,1184.64,1184.64,Decommissioned,0.0,Ghost circuit
INV000205,CI-0017,Cascade Mobile,WAN/Circuits,2025-01-01,967.81,967.81,Active,0.0,OK
INV000206,CI-0017,Cascade Mobile,WAN/Circuits,2025-02-01,967.81,967.81,Active,0.0,OK
INV000207,CI-0017,Cascade Mobile,WAN/Circuits,2025-03-01,967.81,967.81,Active,0.0,OK
INV000208,CI-0017,Cascade Mobile,WAN/Circuits,2025-04-01,967.81,967.81,Active,0.0,OK
INV000209,CI-0017,Cascade Mobile,WAN/Circuits,2025-05-01,967.81,967.81,Active,0.0,OK
INV000210,CI-0017,Cascade Mobile,WAN/Circuits,2025-06-01,967.81,967.81,Active,0.0,OK
INV000211,CI-0017,Cascade Mobile,WAN/Circuits,2025-07-01,967.81,967.81,Active,0.0,OK
INV000212,CI-0017,Cascade Mobile,WAN/Circuits,2025-08-01,967.81,967.81,Active,0.0,OK
INV000213,CI-0017,Cascade Mobile,WAN/Circuits,2025-09-01,967.81,967.81,Active,0.0,OK
INV000214,CI-0017,Cascade Mobile,WAN/Circuits,2025-10-01,967.81,967.81,Active,0.0,OK
INV000215,CI-0017,Cascade Mobile,WAN/Circuits,2025-11-01,967.81,967.81,Active,0.0,OK
INV000216,CI-0017,Cascade Mobile,WAN/Circuits,2025-12-01,967.81,967.81,Active,0.0,OK
INV000217,CI-0018,NorthStar Telecom,Contact Center,2025-01-01,1021.73,1021.73,Active,0.0,OK
INV000218,CI-0018,NorthStar Telecom,Contact Center,2025-02-01,1021.73,1021.73,Active,0.0,OK
INV000219,CI-0018,NorthStar Telecom,Contact Center,2025-03-01,1021.73,1021.73,Active,0.0,OK
INV000220,CI-0018,NorthStar Telecom,Contact Center,2025-04-01,1021.73,1021.73,Active,0.0,OK
INV000221,CI-0018,NorthStar Telecom,Contact Center,2025-05-01,1021.73,1021.73,Active,0.0,OK
INV000222,CI-0018,NorthStar Telecom,Contact Center,2025-06-01,1021.73,1021.73,Active,0.0,OK
INV000223,CI-0018,NorthStar Telecom,Contact Center,2025-07-01,1021.73,1021.73,Active,0.0,OK
INV000224,CI-0018,NorthStar Telecom,Contact Center,2025-08-01,1021.73,1021.73,Active,0.0,OK
INV000225,CI-0018,NorthStar Telecom,Contact Center,2025-09-01,1021.73,1021.73,Active,0.0,OK
INV000226,CI-0018,NorthStar Telecom,Contact Center,2025-10-01,1021.73,1021.73,Active,0.0,OK
INV000227,CI-0018,NorthStar Telecom,Contact Center,2025-11-01,1021.73,1394.97,Active,373.24,Rate overcharge
INV000228,CI-0018,NorthStar Telecom,Contact Center,2025-12-01,1021.73,1021.73,Active,0.0,OK
INV000241,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-01-01,661.83,661.83,Active,0.0,OK
INV000242,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-02-01,661.83,661.83,Active,0.0,OK
INV000243,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-03-01,661.83,661.83,Active,0.0,OK
INV000244,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-04-01,661.83,661.83,Active,0.0,OK
INV000245,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-05-01,661.83,661.83,Active,0.0,OK
INV000246,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-06-01,661.83,661.83,Active,0.0,OK
INV000247,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-07-01,661.83,661.83,Active,0.0,OK
INV000248,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-08-01,661.83,661.83,Active,0.0,OK
INV000249,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-09-01,661.83,661.83,Active,0.0,OK
INV000250,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-10-01,661.83,661.83,Active,0.0,OK
INV000251,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-11-01,661.83,661.83,Active,0.0,OK
INV000252,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-12-01,661.83,661.83,Active,0.0,OK
INV000265,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-01-01,815.7,815.7,Active,0.0,OK
INV000266,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-02-01,815.7,815.7,Active,0.0,OK
INV000267,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-03-01,815.7,1631.4,Active,815.7,Duplicate charge
INV000268,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-04-01,815.7,815.7,Active,0.0,OK
INV000269,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-05-01,815.7,815.7,Active,0.0,OK
INV000270,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-06-01,815.7,815.7,Active,0.0,OK
INV000271,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-07-01,815.7,815.7,Active,0.0,OK
INV000272,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-08-01,815.7,815.7,Active,0.0,OK
INV000273,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-09-01,815.7,815.7,Active,0.0,OK
INV000274,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-10-01,815.7,1631.4,Active,815.7,Duplicate charge
INV000275,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-11-01,815.7,815.7,Active,0.0,OK
INV000276,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-12-01,815.7,815.7,Active,0.0,OK
INV000277,CI-0023,Meridian Networks,Contact Center,2025-01-01,1467.31,1467.31,Active,0.0,OK
INV000278,CI-0023,Meridian Networks,Contact Center,2025-02-01,1467.31,1467.31,Active,0.0,OK
INV000279,CI-0023,Meridian Networks,Contact Center,2025-03-01,1467.31,1467.31,Active,0.0,OK
INV000280,CI-0023,Meridian Networks,Contact Center,2025-04-01,1467.31,1467.31,Active,0.0,OK
INV000281,CI-0023,Meridian Networks,Contact Center,2025-05-01,1467.31,1467.31,Active,0.0,OK
INV000282,CI-0023,Meridian Networks,Contact Center,2025-06-01,1467.31,1467.31,Active,0.0,OK
INV000283,CI-0023,Meridian Networks,Contact Center,2025-07-01,1467.31,1467.31,Active,0.0,OK
INV000284,CI-0023,Meridian Networks,Contact Center,2025-08-01,1467.31,1467.31,Active,0.0,OK
INV000285,CI-0023,Meridian Networks,Contact Center,2025-09-01,1467.31,1467.31,Active,0.0,OK
INV000286,CI-0023,Meridian Networks,Contact Center,2025-10-01,1467.31,1467.31,Active,0.0,OK
INV000287,CI-0023,Meridian Networks,Contact Center,2025-11-01,1467.31,1467.31,Active,0.0,OK
INV000288,CI-0023,Meridian Networks,Contact Center,2025-12-01,1467.31,1467.31,Active,0.0,OK
INV000289,CI-0024,BlueRidge Comms,Data Center Net,2025-01-01,1156.83,1156.83,Active,0.0,OK
INV000290,CI-0024,BlueRidge Comms,Data Center Net,2025-02-01,1156.83,1156.83,Active,0.0,OK
INV000291,CI-0024,BlueRidge Comms,Data Center Net,2025-03-01,1156.83,1156.83,Active,0.0,OK
INV000292,CI-0024,BlueRidge Comms,Data Center Net,2025-04-01,1156.83,1156.83,Active,0.0,OK
INV000293,CI-0024,BlueRidge Comms,Data Center Net,2025-05-01,1156.83,1156.83,Active,0.0,OK
INV000294,CI-0024,BlueRidge Comms,Data Center Net,2025-06-01,1156.83,1156.83,Active,0.0,OK
INV000295,CI-0024,BlueRidge Comms,Data Center Net,2025-07-01,1156.83,1156.83,Active,0.0,OK
INV000296,CI-0024,BlueRidge Comms,Data Center Net,2025-08-01,1156.83,1156.83,Active,0.0,OK
INV000297,CI-0024,BlueRidge Comms,Data Center Net,2025-09-01,1156.83,1156.83,Active,0.0,OK
INV000298,CI-0024,BlueRidge Comms,Data Center Net,2025-10-01,1156.83,1156.83,Active,0.0,OK
INV000299,CI-0024,BlueRidge Comms,Data Center Net,2025-11-01,1156.83,1156.83,Active,0.0,OK
INV000300,CI-0024,BlueRidge Comms,Data Center Net,2025-12-01,1156.83,1156.83,Active,0.0,OK
