invoice_id,ci_id,vendor,service_area,period,contracted_rate,billed_amount,ci_status,planted_error
INV000033,CI-0002,Atlas Fiber,Cloud Connectivity,2025-09-01,1190.71,1374.93,Active,rate_overcharge
INV000034,CI-0002,Atlas Fiber,Cloud Connectivity,2025-10-01,1190.71,1190.71,Active,none
INV000035,CI-0002,Atlas Fiber,Cloud Connectivity,2025-11-01,1190.71,1190.71,Active,none
INV000036,CI-0002,Atlas Fiber,Cloud Connectivity,2025-12-01,1190.71,1190.71,Active,none
INV000037,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-01-01,1004.11,1004.11,Active,none
INV000038,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-02-01,1004.11,1004.11,Active,none
INV000039,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-03-01,1004.11,2008.22,Active,duplicate
INV000040,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-04-01,1004.11,1004.11,Active,none
INV000041,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-05-01,1004.11,1004.11,Active,none
INV000042,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-06-01,1004.11,1004.11,Active,none
INV000043,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-07-01,1004.11,1004.11,Active,none
INV000044,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-08-01,1004.11,1004.11,Active,none
INV000045,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-09-01,1004.11,1004.11,Active,none
INV000046,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-10-01,1004.11,1004.11,Active,none
INV000047,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-11-01,1004.11,1004.11,Active,none
INV000048,CI-0003,BlueRidge Comms,Voice/UCaaS,2025-12-01,1004.11,2008.22,Active,duplicate
INV000049,CI-0004,Cascade Mobile,Voice/UCaaS,2025-01-01,709.4,709.4,Active,none
INV000050,CI-0004,Cascade Mobile,Voice/UCaaS,2025-02-01,709.4,709.4,Active,none
INV000051,CI-0004,Cascade Mobile,Voice/UCaaS,2025-03-01,709.4,709.4,Active,none
INV000052,CI-0004,Cascade Mobile,Voice/UCaaS,2025-04-01,709.4,709.4,Active,none
INV000053,CI-0004,Cascade Mobile,Voice/UCaaS,2025-05-01,709.4,709.4,Active,none
INV000054,CI-0004,Cascade Mobile,Voice/UCaaS,2025-06-01,709.4,709.4,Active,none
INV000055,CI-0004,Cascade Mobile,Voice/UCaaS,2025-07-01,709.4,709.4,Active,none
INV000056,CI-0004,Cascade Mobile,Voice/UCaaS,2025-08-01,709.4,709.4,Active,none
INV000057,CI-0004,Cascade Mobile,Voice/UCaaS,2025-09-01,709.4,709.4,Active,none
INV000058,CI-0004,Cascade Mobile,Voice/UCaaS,2025-10-01,709.4,709.4,Active,none
INV000059,CI-0004,Cascade Mobile,Voice/UCaaS,2025-11-01,709.4,709.4,Active,none
INV000060,CI-0004,Cascade Mobile,Voice/UCaaS,2025-12-01,709.4,709.4,Active,none
INV000073,CI-0006,BlueRidge Comms,WAN/Circuits,2025-01-01,1066.65,1066.65,Active,none
INV000074,CI-0006,BlueRidge Comms,WAN/Circuits,2025-02-01,1066.65,1066.65,Active,none
INV000075,CI-0006,BlueRidge Comms,WAN/Circuits,2025-03-01,1066.65,1066.65,Active,none
INV000076,CI-0006,BlueRidge Comms,WAN/Circuits,2025-04-01,1066.65,1066.65,Active,none
INV000077,CI-0006,BlueRidge Comms,WAN/Circuits,2025-05-01,1066.65,1066.65,Active,none
INV000078,CI-0006,BlueRidge Comms,WAN/Circuits,2025-06-01,1066.65,1066.65,Active,none
INV000079,CI-0006,BlueRidge Comms,WAN/Circuits,2025-07-01,1066.65,1066.65,Active,none
INV000080,CI-0006,BlueRidge Comms,WAN/Circuits,2025-08-01,1066.65,1066.65,Active,none
INV000081,CI-0006,BlueRidge Comms,WAN/Circuits,2025-09-01,1066.65,1066.65,Active,none
INV000082,CI-0006,BlueRidge Comms,WAN/Circuits,2025-10-01,1066.65,1066.65,Active,none
INV000083,CI-0006,BlueRidge Comms,WAN/Circuits,2025-11-01,1066.65,1066.65,Active,none
INV000084,CI-0006,BlueRidge Comms,WAN/Circuits,2025-12-01,1066.65,1066.65,Active,none
INV000085,CI-0007,BlueRidge Comms,Data Center Net,2025-01-01,738.95,738.95,Active,none
INV000086,CI-0007,BlueRidge Comms,Data Center Net,2025-02-01,738.95,738.95,Active,none
INV000087,CI-0007,BlueRidge Comms,Data Center Net,2025-03-01,738.95,738.95,Active,none
INV000088,CI-0007,BlueRidge Comms,Data Center Net,2025-04-01,738.95,738.95,Active,none
INV000089,CI-0007,BlueRidge Comms,Data Center Net,2025-05-01,738.95,738.95,Active,none
INV000090,CI-0007,BlueRidge Comms,Data Center Net,2025-06-01,738.95,738.95,Active,none
INV000091,CI-0007,BlueRidge Comms,Data Center Net,2025-07-01,738.95,738.95,Active,none
INV000092,CI-0007,BlueRidge Comms,Data Center Net,2025-08-01,738.95,738.95,Active,none
INV000093,CI-0007,BlueRidge Comms,Data Center Net,2025-09-01,738.95,738.95,Active,none
INV000094,CI-0007,BlueRidge Comms,Data Center Net,2025-10-01,738.95,738.95,Active,ghost_circuit
INV000095,CI-0007,BlueRidge Comms,Data Center Net,2025-11-01,738.95,738.95,Active,none
INV000096,CI-0007,BlueRidge Comms,Data Center Net,2025-12-01,738.95,738.95,Active,none
INV000097,CI-0008,Atlas Fiber,Wireless/Mobile,2025-01-01,949.59,949.59,Active,none
INV000098,CI-0008,Atlas Fiber,Wireless/Mobile,2025-02-01,949.59,949.59,Active,none
INV000099,CI-0008,Atlas Fiber,Wireless/Mobile,2025-03-01,949.59,949.59,Active,none
INV000100,CI-0008,Atlas Fiber,Wireless/Mobile,2025-04-01,949.59,949.59,Active,none
INV000101,CI-0008,Atlas Fiber,Wireless/Mobile,2025-05-01,949.59,949.59,Active,none
INV000102,CI-0008,Atlas Fiber,Wireless/Mobile,2025-06-01,949.59,949.59,Active,none
INV000103,CI-0008,Atlas Fiber,Wireless/Mobile,2025-07-01,949.59,949.59,Active,none
INV000104,CI-0008,Atlas Fiber,Wireless/Mobile,2025-08-01,949.59,949.59,Active,none
INV000105,CI-0008,Atlas Fiber,Wireless/Mobile,2025-09-01,949.59,949.59,Active,none
INV000106,CI-0008,Atlas Fiber,Wireless/Mobile,2025-10-01,949.59,949.59,Active,none
INV000107,CI-0008,Atlas Fiber,Wireless/Mobile,2025-11-01,949.59,949.59,Active,none
INV000108,CI-0008,Atlas Fiber,Wireless/Mobile,2025-12-01,949.59,949.59,Active,none
INV000109,CI-0009,Atlas Fiber,WAN/Circuits,2025-01-01,1254.82,1254.82,Active,none
INV000110,CI-0009,Atlas Fiber,WAN/Circuits,2025-02-01,1254.82,1254.82,Active,none
INV000111,CI-0009,Atlas Fiber,WAN/Circuits,2025-03-01,1254.82,1254.82,Active,none
INV000112,CI-0009,Atlas Fiber,WAN/Circuits,2025-04-01,1254.82,1254.82,Active,ghost_circuit
INV000113,CI-0009,Atlas Fiber,WAN/Circuits,2025-05-01,1254.82,1254.82,Active,none
INV000114,CI-0009,Atlas Fiber,WAN/Circuits,2025-06-01,1254.82,1254.82,Active,none
INV000115,CI-0009,Atlas Fiber,WAN/Circuits,2025-07-01,1254.82,1254.82,Active,none
INV000116,CI-0009,Atlas Fiber,WAN/Circuits,2025-08-01,1254.82,1254.82,Active,none
INV000117,CI-0009,Atlas Fiber,WAN/Circuits,2025-09-01,1254.82,1254.82,Active,none
INV000118,CI-0009,Atlas Fiber,WAN/Circuits,2025-10-01,1254.82,1254.82,Active,none
INV000119,CI-0009,Atlas Fiber,WAN/Circuits,2025-11-01,1254.82,1254.82,Active,none
INV000120,CI-0009,Atlas Fiber,WAN/Circuits,2025-12-01,1254.82,1254.82,Active,none
INV000121,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-01-01,632.52,632.52,Active,none
INV000122,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-02-01,632.52,632.52,Active,none
INV000123,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-03-01,632.52,632.52,Active,none
INV000124,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-04-01,632.52,632.52,Active,none
INV000125,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-05-01,632.52,632.52,Active,none
INV000126,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-06-01,632.52,632.52,Active,none
INV000127,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-07-01,632.52,632.52,Active,none
INV000128,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-08-01,632.52,632.52,Active,none
INV000129,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-09-01,632.52,632.52,Active,none
INV000130,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-10-01,632.52,632.52,Active,none
INV000131,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-11-01,632.52,632.52,Active,none
INV000132,CI-0010,BlueRidge Comms,Cloud Connectivity,2025-12-01,632.52,632.52,Active,none
INV000133,CI-0011,Cascade Mobile,Contact Center,2025-01-01,640.45,640.45,Active,none
INV000134,CI-0011,Cascade Mobile,Contact Center,2025-02-01,640.45,640.45,Active,none
INV000135,CI-0011,Cascade Mobile,Contact Center,2025-03-01,640.45,640.45,Active,none
INV000136,CI-0011,Cascade Mobile,Contact Center,2025-04-01,640.45,640.45,Active,none
INV000137,CI-0011,Cascade Mobile,Contact Center,2025-05-01,640.45,640.45,Active,none
INV000138,CI-0011,Cascade Mobile,Contact Center,2025-06-01,640.45,640.45,Active,none
INV000139,CI-0011,Cascade Mobile,Contact Center,2025-07-01,640.45,640.45,Active,none
INV000140,CI-0011,Cascade Mobile,Contact Center,2025-08-01,640.45,640.45,Active,none
INV000141,CI-0011,Cascade Mobile,Contact Center,2025-09-01,640.45,640.45,Active,none
INV000142,CI-0011,Cascade Mobile,Contact Center,2025-10-01,640.45,640.45,Active,none
INV000143,CI-0011,Cascade Mobile,Contact Center,2025-11-01,640.45,640.45,Active,none
INV000144,CI-0011,Cascade Mobile,Contact Center,2025-12-01,640.45,640.45,Active,none
INV000145,CI-0012,Meridian Networks,Data Center Net,2025-01-01,1757.9,1757.9,Active,none
INV000146,CI-0012,Meridian Networks,Data Center Net,2025-02-01,1757.9,1757.9,Active,none
INV000147,CI-0012,Meridian Networks,Data Center Net,2025-03-01,1757.9,1757.9,Active,none
INV000148,CI-0012,Meridian Networks,Data Center Net,2025-04-01,1757.9,3515.8,Active,duplicate
INV000149,CI-0012,Meridian Networks,Data Center Net,2025-05-01,1757.9,1757.9,Active,none
INV000150,CI-0012,Meridian Networks,Data Center Net,2025-06-01,1757.9,1757.9,Active,none
INV000151,CI-0012,Meridian Networks,Data Center Net,2025-07-01,1757.9,1757.9,Active,none
INV000152,CI-0012,Meridian Networks,Data Center Net,2025-08-01,1757.9,2136.43,Active,rate_overcharge
INV000153,CI-0012,Meridian Networks,Data Center Net,2025-09-01,1757.9,1757.9,Active,none
INV000154,CI-0012,Meridian Networks,Data Center Net,2025-10-01,1757.9,1757.9,Active,ghost_circuit
INV000155,CI-0012,Meridian Networks,Data Center Net,2025-11-01,1757.9,1757.9,Active,none
INV000156,CI-0012,Meridian Networks,Data Center Net,2025-12-01,1757.9,1757.9,Active,none
INV000157,CI-0013,Atlas Fiber,Data Center Net,2025-01-01,998.32,998.32,Active,none
INV000158,CI-0013,Atlas Fiber,Data Center Net,2025-02-01,998.32,998.32,Active,none
INV000159,CI-0013,Atlas Fiber,Data Center Net,2025-03-01,998.32,998.32,Active,none
INV000160,CI-0013,Atlas Fiber,Data Center Net,2025-04-01,998.32,998.32,Active,none
INV000161,CI-0013,Atlas Fiber,Data Center Net,2025-05-01,998.32,998.32,Active,none
INV000162,CI-0013,Atlas Fiber,Data Center Net,2025-06-01,998.32,998.32,Active,none
INV000163,CI-0013,Atlas Fiber,Data Center Net,2025-07-01,998.32,998.32,Active,none
INV000164,CI-0013,Atlas Fiber,Data Center Net,2025-08-01,998.32,998.32,Active,none
INV000165,CI-0013,Atlas Fiber,Data Center Net,2025-09-01,998.32,998.32,Active,none
INV000166,CI-0013,Atlas Fiber,Data Center Net,2025-10-01,998.32,998.32,Active,none
INV000167,CI-0013,Atlas Fiber,Data Center Net,2025-11-01,998.32,998.32,Active,none
INV000168,CI-0013,Atlas Fiber,Data Center Net,2025-12-01,998.32,998.32,Active,none
INV000169,CI-0014,BlueRidge Comms,Data Center Net,2025-01-01,709.95,709.95,Active,none
INV000170,CI-0014,BlueRidge Comms,Data Center Net,2025-02-01,709.95,709.95,Active,none
INV000171,CI-0014,BlueRidge Comms,Data Center Net,2025-03-01,709.95,709.95,Active,ghost_circuit
INV000172,CI-0014,BlueRidge Comms,Data Center Net,2025-04-01,709.95,709.95,Active,none
INV000173,CI-0014,BlueRidge Comms,Data Center Net,2025-05-01,709.95,1419.9,Active,duplicate
INV000174,CI-0014,BlueRidge Comms,Data Center Net,2025-06-01,709.95,709.95,Active,none
INV000175,CI-0014,BlueRidge Comms,Data Center Net,2025-07-01,709.95,709.95,Active,none
INV000176,CI-0014,BlueRidge Comms,Data Center Net,2025-08-01,709.95,709.95,Active,none
INV000177,CI-0014,BlueRidge Comms,Data Center Net,2025-09-01,709.95,1419.9,Active,duplicate
INV000178,CI-0014,BlueRidge Comms,Data Center Net,2025-10-01,709.95,709.95,Active,none
INV000179,CI-0014,BlueRidge Comms,Data Center Net,2025-11-01,709.95,709.95,Active,none
INV000180,CI-0014,BlueRidge Comms,Data Center Net,2025-12-01,709.95,709.95,Active,none
INV000181,CI-0015,BlueRidge Comms,Data Center Net,2025-01-01,1195.3,1195.3,Active,none
INV000182,CI-0015,BlueRidge Comms,Data Center Net,2025-02-01,1195.3,1195.3,Active,none
INV000183,CI-0015,BlueRidge Comms,Data Center Net,2025-03-01,1195.3,1195.3,Active,none
INV000184,CI-0015,BlueRidge Comms,Data Center Net,2025-04-01,1195.3,1195.3,Active,none
INV000185,CI-0015,BlueRidge Comms,Data Center Net,2025-05-01,1195.3,1195.3,Active,none
INV000186,CI-0015,BlueRidge Comms,Data Center Net,2025-06-01,1195.3,1195.3,Active,none
INV000187,CI-0015,BlueRidge Comms,Data Center Net,2025-07-01,1195.3,1195.3,Active,none
INV000188,CI-0015,BlueRidge Comms,Data Center Net,2025-08-01,1195.3,1195.3,Active,none
INV000189,CI-0015,BlueRidge Comms,Data Center Net,2025-09-01,1195.3,1195.3,Active,none
INV000190,CI-0015,BlueRidge Comms,Data Center Net,2025-10-01,1195.3,1195.3,Active,none
INV000191,CI-0015,BlueRidge Comms,Data Center Net,2025-11-01,1195.3,1195.3,Active,none
INV000192,CI-0015,BlueRidge Comms,Data Center Net,2025-12-01,1195.3,1195.3,Active,none
INV000195,CI-0016,Cascade Mobile,Cloud Connectivity,2025-03-01,1184.64,1184.64,Decommissioned,ghost_circuit
INV000205,CI-0017,Cascade Mobile,WAN/Circuits,2025-01-01,967.81,967.81,Active,none
INV000206,CI-0017,Cascade Mobile,WAN/Circuits,2025-02-01,967.81,967.81,Active,none
INV000207,CI-0017,Cascade Mobile,WAN/Circuits,2025-03-01,967.81,967.81,Active,none
INV000208,CI-0017,Cascade Mobile,WAN/Circuits,2025-04-01,967.81,967.81,Active,none
INV000209,CI-0017,Cascade Mobile,WAN/Circuits,2025-05-01,967.81,967.81,Active,none
INV000210,CI-0017,Cascade Mobile,WAN/Circuits,2025-06-01,967.81,967.81,Active,none
INV000211,CI-0017,Cascade Mobile,WAN/Circuits,2025-07-01,967.81,967.81,Active,none
INV000212,CI-0017,Cascade Mobile,WAN/Circuits,2025-08-01,967.81,967.81,Active,none
INV000213,CI-0017,Cascade Mobile,WAN/Circuits,2025-09-01,967.81,967.81,Active,none
INV000214,CI-0017,Cascade Mobile,WAN/Circuits,2025-10-01,967.81,967.81,Active,none
INV000215,CI-0017,Cascade Mobile,WAN/Circuits,2025-11-01,967.81,967.81,Active,none
INV000216,CI-0017,Cascade Mobile,WAN/Circuits,2025-12-01,967.81,967.81,Active,none
INV000217,CI-0018,NorthStar Telecom,Contact Center,2025-01-01,1021.73,1021.73,Active,none
INV000218,CI-0018,NorthStar Telecom,Contact Center,2025-02-01,1021.73,1021.73,Active,none
INV000219,CI-0018,NorthStar Telecom,Contact Center,2025-03-01,1021.73,1021.73,Active,none
INV000220,CI-0018,NorthStar Telecom,Contact Center,2025-04-01,1021.73,1021.73,Active,none
INV000221,CI-0018,NorthStar Telecom,Contact Center,2025-05-01,1021.73,1021.73,Active,none
INV000222,CI-0018,NorthStar Telecom,Contact Center,2025-06-01,1021.73,1021.73,Active,none
INV000223,CI-0018,NorthStar Telecom,Contact Center,2025-07-01,1021.73,1021.73,Active,none
INV000224,CI-0018,NorthStar Telecom,Contact Center,2025-08-01,1021.73,1021.73,Active,none
INV000225,CI-0018,NorthStar Telecom,Contact Center,2025-09-01,1021.73,1021.73,Active,none
INV000226,CI-0018,NorthStar Telecom,Contact Center,2025-10-01,1021.73,1021.73,Active,none
INV000227,CI-0018,NorthStar Telecom,Contact Center,2025-11-01,1021.73,1394.97,Active,rate_overcharge
INV000228,CI-0018,NorthStar Telecom,Contact Center,2025-12-01,1021.73,1021.73,Active,none
INV000241,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-01-01,661.83,661.83,Active,none
INV000242,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-02-01,661.83,661.83,Active,none
INV000243,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-03-01,661.83,661.83,Active,none
INV000244,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-04-01,661.83,661.83,Active,none
INV000245,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-05-01,661.83,661.83,Active,ghost_circuit
INV000246,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-06-01,661.83,661.83,Active,none
INV000247,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-07-01,661.83,661.83,Active,none
INV000248,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-08-01,661.83,661.83,Active,none
INV000249,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-09-01,661.83,661.83,Active,none
INV000250,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-10-01,661.83,661.83,Active,none
INV000251,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-11-01,661.83,661.83,Active,none
INV000252,CI-0020,NorthStar Telecom,Cloud Connectivity,2025-12-01,661.83,661.83,Active,none
INV000265,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-01-01,815.7,815.7,Active,none
INV000266,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-02-01,815.7,815.7,Active,none
INV000267,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-03-01,815.7,1631.4,Active,duplicate
INV000268,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-04-01,815.7,815.7,Active,none
INV000269,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-05-01,815.7,815.7,Active,none
INV000270,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-06-01,815.7,815.7,Active,none
INV000271,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-07-01,815.7,815.7,Active,none
INV000272,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-08-01,815.7,815.7,Active,none
INV000273,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-09-01,815.7,815.7,Active,none
INV000274,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-10-01,815.7,1631.4,Active,duplicate
INV000275,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-11-01,815.7,815.7,Active,ghost_circuit
INV000276,CI-0022,NorthStar Telecom,Wireless/Mobile,2025-12-01,815.7,815.7,Active,none
INV000277,CI-0023,Meridian Networks,Contact Center,2025-01-01,1467.31,1467.31,Active,none
INV000278,CI-0023,Meridian Networks,Contact Center,2025-02-01,1467.31,1467.31,Active,none
INV000279,CI-0023,Meridian Networks,Contact Center,2025-03-01,1467.31,1467.31,Active,none
INV000280,CI-0023,Meridian Networks,Contact Center,2025-04-01,1467.31,1467.31,Active,none
INV000281,CI-0023,Meridian Networks,Contact Center,2025-05-01,1467.31,1467.31,Active,none
INV000282,CI-0023,Meridian Networks,Contact Center,2025-06-01,1467.31,1467.31,Active,ghost_circuit
INV000283,CI-0023,Meridian Networks,Contact Center,2025-07-01,1467.31,1467.31,Active,none
INV000284,CI-0023,Meridian Networks,Contact Center,2025-08-01,1467.31,1467.31,Active,none
INV000285,CI-0023,Meridian Networks,Contact Center,2025-09-01,1467.31,1467.31,Active,none
INV000286,CI-0023,Meridian Networks,Contact Center,2025-10-01,1467.31,1467.31,Active,none
INV000287,CI-0023,Meridian Networks,Contact Center,2025-11-01,1467.31,1467.31,Active,none
INV000288,CI-0023,Meridian Networks,Contact Center,2025-12-01,1467.31,1467.31,Active,none
INV000289,CI-0024,BlueRidge Comms,Data Center Net,2025-01-01,1156.83,1156.83,Active,none
INV000290,CI-0024,BlueRidge Comms,Data Center Net,2025-02-01,1156.83,1156.83,Active,none
INV000291,CI-0024,BlueRidge Comms,Data Center Net,2025-03-01,1156.83,1156.83,Active,none
INV000292,CI-0024,BlueRidge Comms,Data Center Net,2025-04-01,1156.83,1156.83,Active,none
INV000293,CI-0024,BlueRidge Comms,Data Center Net,2025-05-01,1156.83,1156.83,Active,none
INV000294,CI-0024,BlueRidge Comms,Data Center Net,2025-06-01,1156.83,1156.83,Active,none
INV000295,CI-0024,BlueRidge Comms,Data Center Net,2025-07-01,1156.83,1156.83,Active,none
INV000296,CI-0024,BlueRidge Comms,Data Center Net,2025-08-01,1156.83,1156.83,Active,none
INV000297,CI-0024,BlueRidge Comms,Data Center Net,2025-09-01,1156.83,1156.83,Active,none
INV000298,CI-0024,BlueRidge Comms,Data Center Net,2025-10-01,1156.83,1156.83,Active,none
INV000299,CI-0024,BlueRidge Comms,Data Center Net,2025-11-01,1156.83,1156.83,Active,none
INV000300,CI-0024,BlueRidge Comms,Data Center Net,2025-12-01,1156.83,1156.83,Active,none
INV000301,CI-0025,Cascade Mobile,Cloud Connectivity,2025-01-01,641.44,641.44,Active,none
INV000302,CI-0025,Cascade Mobile,Cloud Connectivity,2025-02-01,641.44,641.44,Active,ghost_circuit
INV000303,CI-0025,Cascade Mobile,Cloud Connectivity,2025-03-01,641.44,1282.88,Active,duplicate
INV000304,CI-0025,Cascade Mobile,Cloud Connectivity,2025-04-01,641.44,641.44,Active,none
INV000305,CI-0025,Cascade Mobile,Cloud Connectivity,2025-05-01,641.44,641.44,Active,none
INV000306,CI-0025,Cascade Mobile,Cloud Connectivity,2025-06-01,641.44,641.44,Active,none
INV000307,CI-0025,Cascade Mobile,Cloud Connectivity,2025-07-01,641.44,641.44,Active,none
INV000308,CI-0025,Cascade Mobile,Cloud Connectivity,2025-08-01,641.44,641.44,Active,none
INV000309,CI-0025,Cascade Mobile,Cloud Connectivity,2025-09-01,641.44,641.44,Active,none
INV000310,CI-0025,Cascade Mobile,Cloud Connectivity,2025-10-01,641.44,641.44,Active,none
INV000311,CI-0025,Cascade Mobile,Cloud Connectivity,2025-11-01,641.44,641.44,Active,none
INV000312,CI-0025,Cascade Mobile,Cloud Connectivity,2025-12-01,641.44,641.44,Active,none
INV000313,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-01-01,1005.3,1005.3,Active,none
INV000314,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-02-01,1005.3,1005.3,Active,none
INV000315,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-03-01,1005.3,1005.3,Active,none
INV000316,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-04-01,1005.3,1005.3,Active,none
INV000317,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-05-01,1005.3,1005.3,Active,none
INV000318,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-06-01,1005.3,1005.3,Active,none
INV000319,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-07-01,1005.3,1005.3,Active,none
INV000320,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-08-01,1005.3,1005.3,Active,none
INV000321,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-09-01,1005.3,1005.3,Active,none
INV000322,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-10-01,1005.3,1005.3,Active,ghost_circuit
INV000323,CI-0026,BlueRidge Comms,Voice/UCaaS,2025-11-01,1005.3,1005.3,Active,none
