incident_id,ci_id,service_area,site,vendor,priority,opened,mttr_hours,cost_to_resolve
INC000029,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P2,2025-09-01,9.0,1132.03
INC000030,CI-0003,Voice/UCaaS,SITE-19,BlueRidge Comms,P3,2025-11-01,18.8,1985.41
INC000031,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P4,2025-01-01,25.6,3196.93
INC000032,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P3,2025-03-01,26.5,2726.84
INC000033,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P2,2025-04-01,14.5,1643.13
INC000034,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P2,2025-08-01,11.2,1509.59
INC000035,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P3,2025-09-01,16.0,1549.29
INC000036,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P4,2025-10-01,62.5,7974.47
INC000037,CI-0004,Voice/UCaaS,SITE-20,Cascade Mobile,P4,2025-10-01,50.8,6961.18
INC000038,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-01-01,32.4,3312.62
INC000039,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-01-01,9.5,1176.08
INC000040,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-02-01,65.9,6277.01
INC000041,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-02-01,68.6,8643.2
INC000042,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-03-01,51.4,5241.52
INC000043,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-05-01,33.6,3448.03
INC000044,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-05-01,7.8,821.15
INC000045,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-06-01,20.6,2138.58
INC000046,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-06-01,28.4,2910.4
INC000047,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-06-01,13.6,1713.19
INC000048,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-06-01,12.1,1216.02
INC000049,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-06-01,63.2,5408.75
INC000050,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-06-01,23.5,2846.04
INC000051,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-07-01,12.7,1123.68
INC000052,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-07-01,75.5,6441.48
INC000053,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-07-01,33.2,3845.31
INC000054,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-08-01,34.8,2974.79
INC000055,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-08-01,46.7,4988.86
INC000056,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-08-01,12.7,1262.51
INC000057,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-08-01,25.7,2835.42
INC000058,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-09-01,18.0,2031.32
INC000059,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-09-01,62.0,5999.01
INC000060,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-09-01,37.6,3232.24
INC000061,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-09-01,75.7,6866.26
INC000062,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-09-01,26.4,3474.55
INC000063,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-09-01,13.6,1248.68
INC000064,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-09-01,20.5,1991.65
INC000065,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-10-01,72.7,8694.78
INC000066,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-11-01,13.7,1165.39
INC000067,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-11-01,29.3,3225.94
INC000068,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-11-01,6.0,600.98
INC000069,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-12-01,28.4,3793.05
INC000070,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-12-01,26.2,2519.18
INC000071,CI-0005,Contact Center,SITE-05,Meridian Networks,P2,2025-12-01,16.2,1417.17
INC000072,CI-0005,Contact Center,SITE-05,Meridian Networks,P4,2025-12-01,25.1,2963.58
INC000073,CI-0005,Contact Center,SITE-05,Meridian Networks,P3,2025-12-01,24.4,2669.51
INC000074,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P3,2025-01-01,31.3,4251.47
INC000075,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P4,2025-02-01,49.7,6764.35
INC000076,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P4,2025-02-01,31.9,2796.9
INC000077,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P3,2025-03-01,37.8,4343.76
INC000078,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P3,2025-05-01,35.8,3053.59
INC000079,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P4,2025-06-01,64.3,7203.79
INC000080,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P2,2025-06-01,9.8,1163.36
INC000081,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P4,2025-09-01,24.3,2392.84
INC000082,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P3,2025-09-01,23.6,2149.72
INC000083,CI-0006,WAN/Circuits,SITE-05,BlueRidge Comms,P3,2025-10-01,26.8,3221.29
INC000084,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P1,2025-01-01,6.8,699.61
INC000085,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P2,2025-01-01,8.2,780.71
INC000086,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P3,2025-04-01,15.9,2110.81
INC000087,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P4,2025-07-01,45.7,4752.22
INC000088,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P3,2025-09-01,12.4,1707.05
INC000089,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P3,2025-12-01,14.6,1885.47
INC000090,CI-0007,Data Center Net,SITE-01,BlueRidge Comms,P3,2025-12-01,37.2,3639.7
INC000091,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P2,2025-01-01,10.8,1380.89
INC000092,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P3,2025-03-01,28.3,3142.49
INC000093,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P3,2025-04-01,26.8,3170.26
INC000094,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P3,2025-08-01,18.7,2161.97
INC000095,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P4,2025-08-01,62.8,7845.74
INC000096,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P3,2025-09-01,18.9,2565.65
INC000097,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P2,2025-10-01,12.0,1656.75
INC000098,CI-0008,Wireless/Mobile,SITE-03,Atlas Fiber,P3,2025-12-01,29.1,2861.11
INC000099,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P4,2025-01-01,35.2,4132.47
INC000100,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P3,2025-03-01,12.2,1289.99
INC000101,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P3,2025-04-01,28.4,3093.28
INC000102,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P4,2025-05-01,70.3,7603.89
INC000103,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P2,2025-07-01,9.2,854.31
INC000104,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P2,2025-08-01,13.1,1662.45
INC000105,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P3,2025-09-01,21.2,2530.27
INC000106,CI-0009,WAN/Circuits,SITE-12,Atlas Fiber,P2,2025-12-01,11.1,1028.13
INC000107,CI-0010,Cloud Connectivity,SITE-11,BlueRidge Comms,P3,2025-05-01,14.5,1875.11
INC000108,CI-0010,Cloud Connectivity,SITE-11,BlueRidge Comms,P4,2025-05-01,56.6,6714.68
INC000109,CI-0010,Cloud Connectivity,SITE-11,BlueRidge Comms,P2,2025-10-01,13.8,1772.24
INC000110,CI-0010,Cloud Connectivity,SITE-11,BlueRidge Comms,P4,2025-11-01,24.6,2921.64
INC000111,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-01-01,16.5,2302.63
INC000112,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-01-01,27.7,3215.79
INC000113,CI-0011,Contact Center,SITE-08,Cascade Mobile,P2,2025-02-01,13.4,1803.81
INC000114,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-02-01,13.3,1827.57
INC000115,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-03-01,18.3,1730.2
INC000116,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-04-01,34.2,3148.13
INC000117,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-05-01,18.7,2206.45
INC000118,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-05-01,29.6,4010.56
INC000119,CI-0011,Contact Center,SITE-08,Cascade Mobile,P2,2025-06-01,8.5,1109.14
INC000120,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-06-01,37.6,4667.65
INC000121,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-07-01,76.8,9334.72
INC000122,CI-0011,Contact Center,SITE-08,Cascade Mobile,P2,2025-07-01,7.9,1089.27
INC000123,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-07-01,63.5,8716.45
INC000124,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-07-01,35.4,3329.44
INC000125,CI-0011,Contact Center,SITE-08,Cascade Mobile,P2,2025-07-01,12.8,1318.26
INC000126,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-07-01,33.1,2908.3
INC000127,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-08-01,55.3,5868.19
INC000128,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-08-01,13.5,1411.65
INC000129,CI-0011,Contact Center,SITE-08,Cascade Mobile,P2,2025-08-01,7.8,979.07
INC000130,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-09-01,25.6,3107.06
INC000131,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-09-01,24.7,2636.42
INC000132,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-10-01,36.5,3950.35
INC000133,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-10-01,35.6,4207.52
INC000134,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-10-01,18.9,1863.27
INC000135,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-10-01,38.8,3306.47
INC000136,CI-0011,Contact Center,SITE-08,Cascade Mobile,P1,2025-10-01,9.5,1095.09
INC000137,CI-0011,Contact Center,SITE-08,Cascade Mobile,P1,2025-11-01,8.4,902.77
INC000138,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-11-01,17.9,2346.7
INC000139,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-11-01,74.3,8261.81
INC000140,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-11-01,51.0,6074.89
INC000141,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-11-01,24.9,2890.7
INC000142,CI-0011,Contact Center,SITE-08,Cascade Mobile,P2,2025-11-01,10.8,1332.91
INC000143,CI-0011,Contact Center,SITE-08,Cascade Mobile,P1,2025-11-01,7.6,775.29
INC000144,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-11-01,30.3,2934.49
INC000145,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-12-01,32.6,4442.84
INC000146,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-12-01,30.5,3733.74
INC000147,CI-0011,Contact Center,SITE-08,Cascade Mobile,P3,2025-12-01,26.3,2493.95
INC000148,CI-0011,Contact Center,SITE-08,Cascade Mobile,P4,2025-12-01,32.8,4384.7
INC000149,CI-0012,Data Center Net,SITE-07,Meridian Networks,P3,2025-02-01,22.6,2498.82
INC000150,CI-0012,Data Center Net,SITE-07,Meridian Networks,P3,2025-02-01,37.0,3657.51
INC000151,CI-0012,Data Center Net,SITE-07,Meridian Networks,P4,2025-04-01,36.8,3194.41
INC000152,CI-0012,Data Center Net,SITE-07,Meridian Networks,P4,2025-05-01,46.3,4284.61
INC000153,CI-0012,Data Center Net,SITE-07,Meridian Networks,P3,2025-08-01,36.0,3896.0
INC000154,CI-0012,Data Center Net,SITE-07,Meridian Networks,P4,2025-09-01,38.2,4469.68
INC000155,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P4,2025-02-01,50.0,4857.53
INC000156,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P4,2025-05-01,26.4,2681.51
INC000157,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P4,2025-07-01,43.3,3780.54
INC000158,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P4,2025-08-01,46.5,5840.41
INC000159,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P4,2025-10-01,35.2,4509.08
INC000160,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P3,2025-11-01,34.0,3975.06
INC000161,CI-0013,Data Center Net,SITE-17,Atlas Fiber,P3,2025-11-01,18.2,1997.13
INC000162,CI-0014,Data Center Net,SITE-10,BlueRidge Comms,P3,2025-01-01,34.4,3958.63
INC000163,CI-0014,Data Center Net,SITE-10,BlueRidge Comms,P3,2025-02-01,25.2,2698.36
INC000164,CI-0014,Data Center Net,SITE-10,BlueRidge Comms,P3,2025-03-01,15.7,1873.46
INC000165,CI-0014,Data Center Net,SITE-10,BlueRidge Comms,P3,2025-04-01,25.0,3116.27
INC000166,CI-0014,Data Center Net,SITE-10,BlueRidge Comms,P4,2025-07-01,43.2,5860.8
INC000167,CI-0014,Data Center Net,SITE-10,BlueRidge Comms,P2,2025-12-01,15.9,1605.46
INC000168,CI-0015,Data Center Net,SITE-17,BlueRidge Comms,P2,2025-01-01,15.4,2052.2
INC000169,CI-0015,Data Center Net,SITE-17,BlueRidge Comms,P3,2025-02-01,36.1,4258.7
INC000170,CI-0015,Data Center Net,SITE-17,BlueRidge Comms,P4,2025-05-01,71.8,7445.08
INC000171,CI-0015,Data Center Net,SITE-17,BlueRidge Comms,P2,2025-06-01,6.9,944.25
INC000172,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-03-01,15.7,1682.94
INC000173,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P4,2025-03-01,35.3,3341.35
INC000174,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P4,2025-04-01,46.7,5232.68
INC000175,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-04-01,37.6,3574.55
INC000176,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-05-01,29.2,3696.33
INC000177,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-06-01,38.2,4232.34
INC000178,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-06-01,25.2,2693.45
INC000179,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P2,2025-07-01,18.2,2482.49
INC000180,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-09-01,36.2,4337.9
INC000181,CI-0016,Cloud Connectivity,SITE-20,Cascade Mobile,P3,2025-10-01,14.2,1961.92
INC000182,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-02-01,51.9,4780.95
INC000183,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-05-01,18.3,2446.52
INC000184,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-05-01,63.8,5730.88
INC000185,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-07-01,36.8,4690.17
INC000186,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-08-01,44.8,6034.37
INC000187,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-10-01,13.3,1728.44
INC000188,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-10-01,18.9,2524.49
INC000189,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-11-01,70.2,6368.62
INC000190,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P4,2025-11-01,53.0,7183.78
INC000191,CI-0017,WAN/Circuits,SITE-07,Cascade Mobile,P3,2025-12-01,12.7,1274.16
INC000192,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-01-01,14.9,1497.38
INC000193,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-01-01,7.1,850.38
INC000194,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-02-01,76.2,7984.9
INC000195,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-02-01,64.3,8684.24
INC000196,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-02-01,14.7,1342.84
INC000197,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-03-01,13.9,1883.99
INC000198,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-03-01,29.2,3349.75
INC000199,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-03-01,68.0,6520.77
INC000200,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-04-01,29.6,2957.37
INC000201,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-04-01,36.1,4879.13
INC000202,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-04-01,12.0,1380.25
INC000203,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-04-01,35.0,4009.98
INC000204,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-05-01,35.7,3274.65
INC000205,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-05-01,13.1,1559.21
INC000206,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-06-01,8.5,755.32
INC000207,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-06-01,34.8,4534.9
INC000208,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-06-01,24.4,3234.61
INC000209,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-06-01,31.3,3913.79
INC000210,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-07-01,74.6,7819.11
INC000211,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-07-01,23.9,3101.15
INC000212,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-07-01,24.8,2414.83
INC000213,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-08-01,46.2,4866.88
INC000214,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-08-01,57.3,5952.89
INC000215,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-08-01,22.8,2094.7
INC000216,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-08-01,13.1,1676.22
INC000217,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-08-01,22.1,2671.68
INC000218,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-08-01,11.0,1063.42
INC000219,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-08-01,15.0,1640.77
INC000220,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-09-01,9.7,894.19
INC000221,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-09-01,30.5,3759.3
INC000222,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-09-01,25.4,2464.33
INC000223,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-09-01,25.5,2586.63
INC000224,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-09-01,37.9,4336.64
INC000225,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-09-01,12.2,1159.56
INC000226,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-10-01,49.4,5064.37
INC000227,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-10-01,25.1,3455.59
INC000228,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-10-01,16.4,1649.27
INC000229,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-11-01,25.1,2548.2
INC000230,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-11-01,62.1,8604.34
INC000231,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-11-01,32.7,4117.98
INC000232,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-11-01,64.8,6523.38
INC000233,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P1,2025-11-01,9.4,1167.95
INC000234,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-11-01,65.9,8266.17
INC000235,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P1,2025-12-01,5.9,778.71
INC000236,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P4,2025-12-01,45.4,4607.22
INC000237,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P3,2025-12-01,34.0,4077.74
INC000238,CI-0018,Contact Center,SITE-05,NorthStar Telecom,P2,2025-12-01,10.8,1245.78
INC000239,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P2,2025-02-01,11.2,1132.2
INC000240,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P3,2025-02-01,13.1,1158.85
INC000241,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P4,2025-03-01,40.2,4099.04
INC000242,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P1,2025-07-01,4.0,514.7
INC000243,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P2,2025-07-01,9.0,1211.28
INC000244,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P3,2025-08-01,18.2,2223.8
INC000245,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P4,2025-08-01,31.5,4233.83
INC000246,CI-0019,Voice/UCaaS,SITE-20,Meridian Networks,P3,2025-10-01,12.4,1542.79
INC000247,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P3,2025-01-01,29.2,3510.99
INC000248,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P3,2025-01-01,12.7,1392.88
INC000249,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P4,2025-06-01,39.2,3893.31
INC000250,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P2,2025-06-01,13.2,1269.8
INC000251,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P3,2025-07-01,26.0,2647.8
INC000252,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P4,2025-08-01,56.0,6176.55
INC000253,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P3,2025-10-01,16.3,1997.35
INC000254,CI-0020,Cloud Connectivity,SITE-13,NorthStar Telecom,P3,2025-12-01,18.3,1845.77
INC000255,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P3,2025-02-01,14.7,1514.58
INC000256,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P4,2025-03-01,48.4,5308.42
INC000257,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P4,2025-04-01,49.6,5175.86
INC000258,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P4,2025-05-01,73.4,7324.56
INC000259,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P4,2025-07-01,30.8,2968.14
INC000260,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P3,2025-09-01,23.0,2263.11
INC000261,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P3,2025-09-01,20.5,2421.61
INC000262,CI-0021,Voice/UCaaS,SITE-06,Cascade Mobile,P4,2025-12-01,42.5,3627.46
INC000263,CI-0022,Wireless/Mobile,SITE-13,NorthStar Telecom,P4,2025-01-01,47.0,4907.35
