ci_id,service_area,period,uptime_pct,latency_ms,packet_loss_pct,mtbf_hours
CI-0011,Contact Center,2025-11-01,99.014,28.4,2.533,1040
CI-0011,Contact Center,2025-12-01,99.651,41.3,2.8,1186
CI-0012,Data Center Net,2025-01-01,99.745,32.9,0.0,1653
CI-0012,Data Center Net,2025-02-01,99.967,40.2,0.068,1634
CI-0012,Data Center Net,2025-03-01,99.858,47.5,0.069,1454
CI-0012,Data Center Net,2025-04-01,99.824,35.5,0.032,1582
CI-0012,Data Center Net,2025-05-01,99.774,35.7,0.233,1448
CI-0012,Data Center Net,2025-06-01,100.0,27.8,0.112,1502
CI-0012,Data Center Net,2025-07-01,99.864,23.0,0.003,1092
CI-0012,Data Center Net,2025-08-01,99.61,26.1,0.142,1632
CI-0012,Data Center Net,2025-09-01,99.408,36.9,0.155,1634
CI-0012,Data Center Net,2025-10-01,99.743,29.5,0.175,1708
CI-0012,Data Center Net,2025-11-01,99.718,23.8,0.298,1283
CI-0012,Data Center Net,2025-12-01,100.0,43.2,0.243,1531
CI-0013,Data Center Net,2025-01-01,99.537,40.4,0.144,1547
CI-0013,Data Center Net,2025-02-01,99.862,30.5,0.108,1261
CI-0013,Data Center Net,2025-03-01,99.281,20.4,0.309,1861
CI-0013,Data Center Net,2025-04-01,100.0,22.0,0.309,1784
CI-0013,Data Center Net,2025-05-01,99.463,35.8,0.0,1553
CI-0013,Data Center Net,2025-06-01,99.281,36.6,0.0,1608
CI-0013,Data Center Net,2025-07-01,99.907,28.7,0.029,1068
CI-0013,Data Center Net,2025-08-01,99.52,30.3,0.0,1590
CI-0013,Data Center Net,2025-09-01,99.465,26.4,0.117,1714
CI-0013,Data Center Net,2025-10-01,99.781,34.0,0.293,1267
CI-0013,Data Center Net,2025-11-01,99.61,36.2,0.13,1587
CI-0013,Data Center Net,2025-12-01,99.366,39.1,0.283,916
CI-0014,Data Center Net,2025-01-01,99.957,10.6,0.108,1705
CI-0014,Data Center Net,2025-02-01,99.505,23.3,0.036,1705
CI-0014,Data Center Net,2025-03-01,99.024,44.0,0.192,1261
CI-0014,Data Center Net,2025-04-01,99.425,26.9,0.33,1646
CI-0014,Data Center Net,2025-05-01,99.084,31.8,0.071,1758
CI-0014,Data Center Net,2025-06-01,99.195,47.8,0.195,1267
CI-0014,Data Center Net,2025-07-01,99.397,28.6,0.009,1518
CI-0014,Data Center Net,2025-08-01,99.232,17.6,0.143,1139
CI-0014,Data Center Net,2025-09-01,99.374,27.7,0.069,1900
CI-0014,Data Center Net,2025-10-01,99.617,37.0,0.0,1369
CI-0014,Data Center Net,2025-11-01,99.665,26.8,0.336,1259
CI-0014,Data Center Net,2025-12-01,99.514,30.3,0.225,1371
CI-0015,Data Center Net,2025-01-01,99.519,33.1,0.09,1597
CI-0015,Data Center Net,2025-02-01,99.672,34.3,0.135,1659
CI-0015,Data Center Net,2025-03-01,99.529,32.5,0.216,1839
CI-0015,Data Center Net,2025-04-01,99.198,41.2,0.0,1543
CI-0015,Data Center Net,2025-05-01,100.0,38.9,0.226,1387
CI-0015,Data Center Net,2025-06-01,99.609,33.0,0.082,1442
CI-0015,Data Center Net,2025-07-01,99.66,28.9,0.079,1227
CI-0015,Data Center Net,2025-08-01,99.717,39.4,0.235,1693
CI-0015,Data Center Net,2025-09-01,99.626,38.1,0.246,1481
CI-0015,Data Center Net,2025-10-01,99.441,52.7,0.132,1366
CI-0015,Data Center Net,2025-11-01,99.73,37.0,0.0,1724
CI-0015,Data Center Net,2025-12-01,99.572,26.1,0.378,1625
CI-0016,Cloud Connectivity,2025-01-01,99.221,49.2,0.299,1497
CI-0016,Cloud Connectivity,2025-02-01,100.0,36.3,0.196,1367
CI-0016,Cloud Connectivity,2025-03-01,99.775,38.8,0.202,1342
CI-0016,Cloud Connectivity,2025-04-01,99.639,34.4,0.0,1205
CI-0016,Cloud Connectivity,2025-05-01,99.77,14.2,0.231,1404
CI-0016,Cloud Connectivity,2025-06-01,99.992,31.1,0.299,1420
CI-0016,Cloud Connectivity,2025-07-01,99.634,40.9,0.131,1699
CI-0016,Cloud Connectivity,2025-08-01,99.302,37.4,0.338,1632
CI-0016,Cloud Connectivity,2025-09-01,100.0,28.9,0.0,1301
CI-0016,Cloud Connectivity,2025-10-01,99.798,39.0,0.215,1275
CI-0016,Cloud Connectivity,2025-11-01,99.83,25.2,0.374,2071
CI-0016,Cloud Connectivity,2025-12-01,99.71,39.7,0.126,1137
CI-0017,WAN/Circuits,2025-01-01,99.419,26.3,0.0,1844
CI-0017,WAN/Circuits,2025-02-01,99.682,38.0,0.154,1465
CI-0017,WAN/Circuits,2025-03-01,99.889,34.7,0.28,1460
CI-0017,WAN/Circuits,2025-04-01,99.497,23.7,0.0,1447
CI-0017,WAN/Circuits,2025-05-01,99.617,24.7,0.195,1510
CI-0017,WAN/Circuits,2025-06-01,98.953,27.7,0.261,1577
CI-0017,WAN/Circuits,2025-07-01,99.254,36.3,0.353,1655
CI-0017,WAN/Circuits,2025-08-01,99.571,31.3,0.106,1593
CI-0017,WAN/Circuits,2025-09-01,99.659,40.0,0.22,1663
CI-0017,WAN/Circuits,2025-10-01,99.628,41.3,0.331,1339
CI-0017,WAN/Circuits,2025-11-01,99.058,47.3,0.238,1157
CI-0017,WAN/Circuits,2025-12-01,99.386,41.2,0.158,1397
CI-0018,Contact Center,2025-01-01,100.0,27.5,0.289,1500
CI-0018,Contact Center,2025-02-01,99.717,40.6,0.753,1456
CI-0018,Contact Center,2025-03-01,99.747,35.4,0.834,1396
CI-0018,Contact Center,2025-04-01,99.665,44.5,1.117,1342
CI-0018,Contact Center,2025-05-01,99.357,39.7,1.237,1330
CI-0018,Contact Center,2025-06-01,100.0,35.8,1.513,1463
CI-0018,Contact Center,2025-07-01,99.629,59.5,1.602,1273
CI-0018,Contact Center,2025-08-01,99.36,38.9,1.904,1335
CI-0018,Contact Center,2025-09-01,99.696,52.6,2.061,1058
CI-0018,Contact Center,2025-10-01,100.0,46.5,2.175,944
CI-0018,Contact Center,2025-11-01,99.317,51.7,2.437,1067
CI-0018,Contact Center,2025-12-01,99.581,50.9,2.573,784
CI-0019,Voice/UCaaS,2025-01-01,99.667,39.8,0.25,1338
CI-0019,Voice/UCaaS,2025-02-01,99.803,29.0,0.122,1311
CI-0019,Voice/UCaaS,2025-03-01,99.99,40.1,0.291,1749
CI-0019,Voice/UCaaS,2025-04-01,100.0,21.3,0.089,1376
CI-0019,Voice/UCaaS,2025-05-01,99.345,26.4,0.155,1256
CI-0019,Voice/UCaaS,2025-06-01,99.701,35.4,0.272,1601
CI-0019,Voice/UCaaS,2025-07-01,99.781,32.0,0.518,1546
CI-0019,Voice/UCaaS,2025-08-01,99.041,27.0,0.0,1503
CI-0019,Voice/UCaaS,2025-09-01,99.563,31.3,0.502,1609
CI-0019,Voice/UCaaS,2025-10-01,99.818,27.6,0.05,1507
CI-0019,Voice/UCaaS,2025-11-01,99.652,20.1,0.173,1502
CI-0019,Voice/UCaaS,2025-12-01,99.535,28.5,0.119,1464
CI-0020,Cloud Connectivity,2025-01-01,99.627,39.8,0.362,1441
CI-0020,Cloud Connectivity,2025-02-01,99.463,38.5,0.292,1413
CI-0020,Cloud Connectivity,2025-03-01,99.837,42.8,0.394,1855
CI-0020,Cloud Connectivity,2025-04-01,99.34,35.1,0.202,1480
CI-0020,Cloud Connectivity,2025-05-01,99.405,23.1,0.214,1346
CI-0020,Cloud Connectivity,2025-06-01,99.626,28.6,0.035,1546
CI-0020,Cloud Connectivity,2025-07-01,99.645,39.6,0.528,1555
CI-0020,Cloud Connectivity,2025-08-01,99.746,26.4,0.007,1816
CI-0020,Cloud Connectivity,2025-09-01,99.323,26.6,0.194,1481
CI-0020,Cloud Connectivity,2025-10-01,99.329,32.6,0.384,1338
CI-0020,Cloud Connectivity,2025-11-01,99.182,42.5,0.274,1375
CI-0020,Cloud Connectivity,2025-12-01,99.125,29.0,0.192,1733
CI-0021,Voice/UCaaS,2025-01-01,99.289,34.3,0.301,1023
CI-0021,Voice/UCaaS,2025-02-01,99.91,25.5,0.25,1549
CI-0021,Voice/UCaaS,2025-03-01,99.925,39.4,0.0,1343
CI-0021,Voice/UCaaS,2025-04-01,99.641,33.4,0.272,1657
CI-0021,Voice/UCaaS,2025-05-01,99.783,33.3,0.0,1408
CI-0021,Voice/UCaaS,2025-06-01,99.725,26.3,0.295,1681
CI-0021,Voice/UCaaS,2025-07-01,99.638,10.5,0.008,1877
CI-0021,Voice/UCaaS,2025-08-01,99.436,19.1,0.385,1502
CI-0021,Voice/UCaaS,2025-09-01,99.931,37.2,0.269,1572
CI-0021,Voice/UCaaS,2025-10-01,99.809,53.2,0.346,1183
CI-0021,Voice/UCaaS,2025-11-01,99.734,44.1,0.38,1414
CI-0021,Voice/UCaaS,2025-12-01,99.949,42.4,0.586,1349
CI-0022,Wireless/Mobile,2025-01-01,99.448,32.6,0.126,1321
CI-0022,Wireless/Mobile,2025-02-01,98.771,31.5,0.255,1401
CI-0022,Wireless/Mobile,2025-03-01,100.0,35.1,0.394,1552
CI-0022,Wireless/Mobile,2025-04-01,99.848,37.2,0.405,1511
CI-0022,Wireless/Mobile,2025-05-01,99.749,37.9,0.157,1580
CI-0022,Wireless/Mobile,2025-06-01,100.0,32.8,0.263,1751
CI-0022,Wireless/Mobile,2025-07-01,99.942,35.1,0.0,1603
CI-0022,Wireless/Mobile,2025-08-01,98.934,46.8,0.225,1699
CI-0022,Wireless/Mobile,2025-09-01,99.329,22.6,0.239,1493
CI-0022,Wireless/Mobile,2025-10-01,99.453,35.7,0.615,1666
CI-0022,Wireless/Mobile,2025-11-01,99.915,41.8,0.422,1461
CI-0022,Wireless/Mobile,2025-12-01,98.984,33.5,0.322,1306
CI-0023,Contact Center,2025-01-01,99.547,30.3,0.634,1608
CI-0023,Contact Center,2025-02-01,99.795,41.6,0.611,1456
CI-0023,Contact Center,2025-03-01,99.244,20.0,0.848,1439
CI-0023,Contact Center,2025-04-01,99.963,50.9,1.269,1133
CI-0023,Contact Center,2025-05-01,99.494,43.0,1.621,1587
CI-0023,Contact Center,2025-06-01,99.936,36.9,1.318,1407
CI-0023,Contact Center,2025-07-01,99.27,38.9,1.641,1526
CI-0023,Contact Center,2025-08-01,99.494,22.2,1.942,1026
CI-0023,Contact Center,2025-09-01,99.613,41.8,2.034,1283
CI-0023,Contact Center,2025-10-01,99.14,39.2,2.386,960
CI-0023,Contact Center,2025-11-01,99.117,49.5,2.66,1032
CI-0023,Contact Center,2025-12-01,99.012,50.6,2.451,1061
CI-0024,Data Center Net,2025-01-01,99.334,25.7,0.134,1463
CI-0024,Data Center Net,2025-02-01,99.407,39.7,0.133,1696
CI-0024,Data Center Net,2025-03-01,99.684,29.4,0.07,1170
CI-0024,Data Center Net,2025-04-01,99.687,32.2,0.0,1392
CI-0024,Data Center Net,2025-05-01,99.33,47.6,0.0,1211
CI-0024,Data Center Net,2025-06-01,99.933,45.9,0.088,1373
CI-0024,Data Center Net,2025-07-01,99.785,16.4,0.0,1443
CI-0024,Data Center Net,2025-08-01,100.0,31.5,0.215,1726
CI-0024,Data Center Net,2025-09-01,100.0,30.4,0.197,1864
CI-0024,Data Center Net,2025-10-01,99.143,43.2,0.047,1520
CI-0024,Data Center Net,2025-11-01,99.527,27.3,0.053,1555
CI-0024,Data Center Net,2025-12-01,99.899,34.0,0.211,1614
CI-0025,Cloud Connectivity,2025-01-01,99.309,40.9,0.323,2020
CI-0025,Cloud Connectivity,2025-02-01,99.487,31.3,0.315,1663
CI-0025,Cloud Connectivity,2025-03-01,99.439,31.8,0.281,1334
CI-0025,Cloud Connectivity,2025-04-01,99.477,35.7,0.349,1379
CI-0025,Cloud Connectivity,2025-05-01,99.047,19.7,0.011,1237
CI-0025,Cloud Connectivity,2025-06-01,99.554,25.5,0.095,1345
CI-0025,Cloud Connectivity,2025-07-01,99.468,45.6,0.299,1503
CI-0025,Cloud Connectivity,2025-08-01,99.462,31.5,0.249,1616
CI-0025,Cloud Connectivity,2025-09-01,99.328,35.3,0.0,1542
CI-0025,Cloud Connectivity,2025-10-01,99.829,32.8,0.472,1323
CI-0025,Cloud Connectivity,2025-11-01,99.665,34.7,0.185,1477
CI-0025,Cloud Connectivity,2025-12-01,99.632,41.8,0.407,1499
CI-0026,Voice/UCaaS,2025-01-01,99.845,29.4,0.315,1347
CI-0026,Voice/UCaaS,2025-02-01,99.927,52.7,0.182,1061
CI-0026,Voice/UCaaS,2025-03-01,99.436,44.9,0.283,1549
CI-0026,Voice/UCaaS,2025-04-01,99.903,38.9,0.383,1683
CI-0026,Voice/UCaaS,2025-05-01,100.0,37.9,0.336,1438
CI-0026,Voice/UCaaS,2025-06-01,99.42,48.7,0.232,1660
CI-0026,Voice/UCaaS,2025-07-01,99.637,30.3,0.202,1787
CI-0026,Voice/UCaaS,2025-08-01,99.767,21.3,0.168,1856
CI-0026,Voice/UCaaS,2025-09-01,99.536,20.6,0.484,1636
CI-0026,Voice/UCaaS,2025-10-01,99.579,32.0,0.362,1391
CI-0026,Voice/UCaaS,2025-11-01,99.944,39.3,0.237,1529
CI-0026,Voice/UCaaS,2025-12-01,99.548,43.4,0.07,1175
CI-0027,Data Center Net,2025-01-01,99.784,40.0,0.272,1581
CI-0027,Data Center Net,2025-02-01,99.504,41.3,0.193,1402
CI-0027,Data Center Net,2025-03-01,99.506,51.2,0.0,1599
CI-0027,Data Center Net,2025-04-01,99.096,34.1,0.135,1082
CI-0027,Data Center Net,2025-05-01,99.717,32.0,0.0,1667
CI-0027,Data Center Net,2025-06-01,100.0,46.9,0.254,1509
CI-0027,Data Center Net,2025-07-01,99.998,48.5,0.37,1311
CI-0027,Data Center Net,2025-08-01,99.66,38.5,0.0,1593
CI-0027,Data Center Net,2025-09-01,100.0,40.1,0.421,1536
CI-0027,Data Center Net,2025-10-01,99.578,38.1,0.078,1307
CI-0027,Data Center Net,2025-11-01,99.98,46.0,0.051,1693
CI-0027,Data Center Net,2025-12-01,99.574,37.7,0.269,1698
CI-0028,Cloud Connectivity,2025-01-01,99.625,46.3,0.246,1624
CI-0028,Cloud Connectivity,2025-02-01,99.35,52.3,0.27,1642
CI-0028,Cloud Connectivity,2025-03-01,99.118,28.4,0.386,1557
CI-0028,Cloud Connectivity,2025-04-01,99.026,43.3,0.118,1782
CI-0028,Cloud Connectivity,2025-05-01,99.574,36.6,0.377,1320
CI-0028,Cloud Connectivity,2025-06-01,99.302,33.4,0.324,1233
CI-0028,Cloud Connectivity,2025-07-01,99.1,41.6,0.11,1421
CI-0028,Cloud Connectivity,2025-08-01,99.043,29.6,0.199,1686
CI-0028,Cloud Connectivity,2025-09-01,99.369,48.3,0.097,1363
CI-0028,Cloud Connectivity,2025-10-01,100.0,36.7,0.117,1468
CI-0028,Cloud Connectivity,2025-11-01,100.0,46.7,0.077,1491
CI-0028,Cloud Connectivity,2025-12-01,99.627,27.1,0.192,1501
CI-0029,Voice/UCaaS,2025-01-01,99.942,44.7,0.151,1457
CI-0029,Voice/UCaaS,2025-02-01,99.799,30.3,0.288,1482
CI-0029,Voice/UCaaS,2025-03-01,99.309,27.3,0.417,1468
CI-0029,Voice/UCaaS,2025-04-01,100.0,30.9,0.244,1978
CI-0029,Voice/UCaaS,2025-05-01,99.283,19.8,0.393,1334
CI-0029,Voice/UCaaS,2025-06-01,99.594,30.3,0.24,1309
CI-0029,Voice/UCaaS,2025-07-01,99.546,38.6,0.049,1359
CI-0029,Voice/UCaaS,2025-08-01,99.496,23.6,0.137,1523
CI-0029,Voice/UCaaS,2025-09-01,99.48,32.8,0.197,1368
CI-0029,Voice/UCaaS,2025-10-01,99.807,46.5,0.13,1597
CI-0029,Voice/UCaaS,2025-11-01,99.528,37.9,0.435,1601
CI-0029,Voice/UCaaS,2025-12-01,99.068,38.6,0.385,1455
CI-0030,Voice/UCaaS,2025-01-01,99.899,29.5,0.0,1528
CI-0030,Voice/UCaaS,2025-02-01,99.073,33.1,0.393,1118
CI-0030,Voice/UCaaS,2025-03-01,99.216,26.7,0.191,1426
CI-0030,Voice/UCaaS,2025-04-01,100.0,42.6,0.274,1529
CI-0030,Voice/UCaaS,2025-05-01,99.718,28.1,0.329,1277
CI-0030,Voice/UCaaS,2025-06-01,99.851,44.5,0.232,1464
CI-0030,Voice/UCaaS,2025-07-01,99.72,12.1,0.245,1477
CI-0030,Voice/UCaaS,2025-08-01,99.585,40.7,0.189,1271
CI-0030,Voice/UCaaS,2025-09-01,99.558,35.5,0.217,1532
CI-0030,Voice/UCaaS,2025-10-01,99.912,26.3,0.226,1757
CI-0030,Voice/UCaaS,2025-11-01,99.08,36.4,0.112,1425
CI-0030,Voice/UCaaS,2025-12-01,99.329,33.6,0.476,1247
CI-0031,Wireless/Mobile,2025-01-01,99.249,24.6,0.459,1407
CI-0031,Wireless/Mobile,2025-02-01,99.592,31.8,0.058,1452
CI-0031,Wireless/Mobile,2025-03-01,100.0,46.1,0.072,1629
CI-0031,Wireless/Mobile,2025-04-01,99.351,20.8,0.353,1732
CI-0031,Wireless/Mobile,2025-05-01,99.914,31.2,0.175,1649
CI-0031,Wireless/Mobile,2025-06-01,99.717,31.9,0.0,1522
CI-0031,Wireless/Mobile,2025-07-01,99.924,25.4,0.296,1566
CI-0031,Wireless/Mobile,2025-08-01,99.825,42.0,0.096,1176
